Date,Function,Metric,Value
2022-10-01,MNC,Order in Progress - MRC,62433.0
2022-10-01,Maggie's team,Billed Revenue,2573987.0
2022-10-01,Maggie's team,Monthly WIN - MRC,2624.0
2022-10-01,Maggie's team,Monthly WIN - TCV,62238.0
2022-10-01,Maggie's team,Order in Progress - MRC,14989.0
2022-10-01,Sherry's team,Billed Revenue,519436.0
2022-10-01,Sherry's team,Monthly WIN - MRC,100263.0
2022-10-01,Sherry's team,Monthly WIN - TCV,3722806.0
2022-10-01,Sherry's team,Order in Progress - MRC,114343.0
2022-10-01,Zscaler,Billed Revenue,0.0
2022-10-01,Zscaler,Monthly WIN - MRC,0.0
2022-10-01,Zscaler,Monthly WIN - TCV,0.0
2022-10-01,Zscaler,Order in Progress - MRC,0.0
2022-11-01,AT&T,Billed Revenue,0.0
2022-11-01,AT&T,Monthly WIN - MRC,0.0
2022-11-01,AT&T,Monthly WIN - TCV,0.0
2022-11-01,AT&T,Order in Progress - MRC,0.0
2022-11-01,Emily's channel,Billed Revenue,0.0
2022-11-01,Emily's channel,Monthly WIN - MRC,0.0
2022-11-01,Emily's channel,Monthly WIN - TCV,0.0
2022-11-01,Emily's channel,Order in Progress - MRC,0.0
2022-11-01,IPA,Billed Revenue,12887109.0
2022-11-01,IPA,Monthly WIN - MRC,28384.0
2022-11-01,IPA,Monthly WIN - TCV,716877.0
2022-11-01,IPA,Order in Progress - MRC,286284.0
2022-11-01,MNC,Billed Revenue,7076070.0
2022-11-01,MNC,Monthly WIN - MRC,82016.0
2022-11-01,MNC,Monthly WIN - TCV,1984569.0
2022-11-01,MNC,Order in Progress - MRC,30450.0
2022-11-01,Maggie's team,Billed Revenue,2564427.0
2022-11-01,Maggie's team,Monthly WIN - MRC,470.0
2022-11-01,Maggie's team,Monthly WIN - TCV,20340.0
2022-11-01,Maggie's team,Order in Progress - MRC,44120.0
2022-11-01,Sherry's team,Billed Revenue,2723056.0
2022-11-01,Sherry's team,Monthly WIN - MRC,1754789.0
2022-11-01,Sherry's team,Monthly WIN - TCV,22858859.0
2022-11-01,Sherry's team,Order in Progress - MRC,635115.0
2022-11-01,Zscaler,Billed Revenue,0.0
2022-11-01,Zscaler,Monthly WIN - MRC,0.0
2022-11-01,Zscaler,Monthly WIN - TCV,0.0
2022-11-01,Zscaler,Order in Progress - MRC,0.0
2022-12-01,AT&T,Billed Revenue,0.0
2022-12-01,AT&T,Monthly WIN - MRC,0.0
2022-12-01,AT&T,Monthly WIN - TCV,0.0
2022-12-01,AT&T,Order in Progress - MRC,0.0
2022-12-01,Emily's channel,Billed Revenue,0.0
2022-12-01,Emily's channel,Monthly WIN - MRC,0.0
2022-12-01,Emily's channel,Monthly WIN - TCV,0.0
2022-12-01,Emily's channel,Order in Progress - MRC,0.0
2022-12-01,IPA,Billed Revenue,0.0
2022-12-01,IPA,Monthly WIN - MRC,0.0
