Date,Parameter,Value
2023-09-01,Bill from CBC China,189.0
2023-09-01,Bill from CBC Hong Kong,94.0
2023-09-01,Bill from CBC Singapore,8.0
2023-09-01,Bill from CBC Taiwan,0.0
2023-09-01,Bill from CBC Tech HK,0.0
2023-09-01,Bill from CNO,0.0
2023-09-01,Bill from CNT,0.0
2023-09-01,Bill from sinocomm,0.0
2023-09-01,Bill from 北京紫讯,0.0
2023-10-01,Bill from CBC China,206.0
2023-10-01,Bill from CBC Hong Kong,97.0
2023-10-01,Bill from CBC Singapore,15.0
2023-10-01,Bill from CBC Taiwan,0.0
2023-10-01,Bill from CBC Tech HK,0.0
2023-10-01,Bill from CNO,0.0
2023-10-01,Bill from CNT,0.0
2023-10-01,Bill from sinocomm,0.0
2023-10-01,Bill from 北京紫讯,0.0
2023-11-01,Bill from CBC China,206.0
2023-11-01,Bill from CBC Hong Kong,96.0
2023-11-01,Bill from CBC Singapore,11.0
2023-11-01,Bill from CBC Taiwan,0.0
2023-11-01,Bill from CBC Tech HK,0.0
2023-11-01,Bill from CNO,0.0
2023-11-01,Bill from CNT,0.0
2023-11-01,Bill from sinocomm,0.0
2023-11-01,Bill from 北京紫讯,0.0
2023-12-01,Bill from CBC China,220.0
2023-12-01,Bill from CBC Hong Kong,94.0
2023-12-01,Bill from CBC Singapore,12.0
2023-12-01,Bill from CBC Taiwan,0.0
2023-12-01,Bill from CBC Tech HK,0.0
2023-12-01,Bill from CNO,0.0
2023-12-01,Bill from CNT,0.0
2023-12-01,Bill from sinocomm,0.0
2023-12-01,Bill from 北京紫讯,0.0
2024-01-01,Bill from CBC China,177.0
2024-01-01,Bill from CBC Hong Kong,100.0
2024-01-01,Bill from CBC Singapore,15.0
2024-01-01,Bill from CBC Taiwan,0.0
2024-01-01,Bill from CBC Tech HK,0.0
2024-01-01,Bill from CNO,0.0
2024-01-01,Bill from CNT,0.0
2024-01-01,Bill from sinocomm,0.0
2024-01-01,Bill from 北京紫讯,0.0
2024-02-01,Bill from CBC China,207.0
2024-02-01,Bill from CBC Hong Kong,102.0
2024-02-01,Bill from CBC Singapore,12.0
2024-02-01,Bill from CBC Taiwan,0.0
2024-02-01,Bill from CBC Tech HK,0.0
2024-02-01,Bill from CNO,0.0
2024-02-01,Bill from CNT,0.0
2024-02-01,Bill from sinocomm,0.0
2024-02-01,Bill from 北京紫讯,0.0
2024-03-01,Bill from CBC China,192.0
2024-03-01,Bill from CBC Hong Kong,94.0
2024-03-01,Bill from CBC Singapore,11.0
2024-03-01,Bill from CBC Taiwan,0.0
2024-03-01,Bill from CBC Tech HK,0.0
2024-03-01,Bill from CNO,0.0
2024-03-01,Bill from CNT,0.0
2024-03-01,Bill from sinocomm,0.0
2024-03-01,Bill from 北京紫讯,0.0
2024-04-01,Bill from CBC China,224.0
2024-04-01,Bill from CBC Hong Kong,99.0
2024-04-01,Bill from CBC Singapore,11.0
2024-04-01,Bill from CBC Taiwan,0.0
2024-04-01,Bill from CBC Tech HK,0.0
2024-04-01,Bill from CNO,0.0
2024-04-01,Bill from CNT,0.0
2024-04-01,Bill from sinocomm,0.0
2024-04-01,Bill from 北京紫讯,0.0
2024-05-01,Bill from CBC China,187.0
2024-05-01,Bill from CBC Hong Kong,93.0
2024-05-01,Bill from CBC Singapore,10.0
2024-05-01,Bill from CBC Taiwan,0.0
2024-05-01,Bill from CBC Tech HK,0.0
2024-05-01,Bill from CNO,0.0
2024-05-01,Bill from CNT,0.0
2024-05-01,Bill from sinocomm,0.0
2024-05-01,Bill from 北京紫讯,0.0
2024-06-01,Bill from CBC China,219.0
2024-06-01,Bill from CBC Hong Kong,95.0
2024-06-01,Bill from CBC Singapore,9.0
2024-06-01,Bill from CBC Taiwan,0.0
2024-06-01,Bill from CBC Tech HK,0.0
2024-06-01,Bill from CNO,0.0
2024-06-01,Bill from CNT,0.0
2024-06-01,Bill from sinocomm,0.0
2024-06-01,Bill from 北京紫讯,0.0
2024-07-01,Bill from CBC China,201.0
2024-07-01,Bill from CBC Hong Kong,100.0
2024-07-01,Bill from CBC Singapore,12.0
2024-07-01,Bill from CBC Taiwan,0.0
2024-07-01,Bill from CBC Tech HK,0.0
2024-07-01,Bill from CNO,0.0
2024-07-01,Bill from CNT,0.0
2024-07-01,Bill from sinocomm,0.0
2024-07-01,Bill from 北京紫讯,0.0
2024-08-01,Bill from CBC China,227.0
2024-08-01,Bill from CBC Hong Kong,97.0
2024-08-01,Bill from CBC Singapore,10.0
2024-08-01,Bill from CBC Taiwan,0.0
2024-08-01,Bill from CBC Tech HK,0.0
2024-08-01,Bill from CNO,0.0
2024-08-01,Bill from CNT,0.0
2024-08-01,Bill from sinocomm,0.0
2024-08-01,Bill from 北京紫讯,0.0
2024-09-01,Bill from CBC China,206.0
2024-09-01,Bill from CBC Hong Kong,102.0
2024-09-01,Bill from CBC Singapore,12.0
2024-09-01,Bill from CBC Taiwan,0.0
2024-09-01,Bill from CBC Tech HK,0.0
2024-09-01,Bill from CNO,0.0
2024-09-01,Bill from CNT,0.0
2024-09-01,Bill from sinocomm,0.0
2024-09-01,Bill from 北京紫讯,0.0
2024-10-01,Bill from CBC China,199.0
2024-10-01,Bill from CBC Hong Kong,99.0
2024-10-01,Bill from CBC Singapore,10.0
2024-10-01,Bill from CBC Taiwan,0.0
2024-10-01,Bill from CBC Tech HK,0.0
2024-10-01,Bill from CNO,0.0
2024-10-01,Bill from CNT,0.0
2024-10-01,Bill from sinocomm,0.0
2024-10-01,Bill from 北京紫讯,0.0
2024-11-01,Bill from CBC China,204.0
2024-11-01,Bill from CBC Hong Kong,93.0
2024-11-01,Bill from CBC Singapore,13.0
2024-11-01,Bill from CBC Taiwan,0.0
2024-11-01,Bill from CBC Tech HK,0.0
2024-11-01,Bill from CNO,0.0
2024-11-01,Bill from CNT,0.0
2024-11-01,Bill from sinocomm,0.0
2024-11-01,Bill from 北京紫讯,0.0
2024-12-01,Bill from CBC China,232.0
2024-12-01,Bill from CBC Hong Kong,93.0
2024-12-01,Bill from CBC Singapore,14.0
2024-12-01,Bill from CBC Taiwan,0.0
2024-12-01,Bill from CBC Tech HK,0.0
2024-12-01,Bill from CNO,0.0
2024-12-01,Bill from CNT,0.0
2024-12-01,Bill from sinocomm,0.0
2024-12-01,Bill from 北京紫讯,0.0
2025-01-01,Bill from CBC China,197.0
2025-01-01,Bill from CBC Hong Kong,96.0
2025-01-01,Bill from CBC Singapore,18.0
2025-01-01,Bill from CBC Taiwan,0.0
2025-01-01,Bill from CBC Tech HK,0.0
2025-01-01,Bill from CNO,0.0
2025-01-01,Bill from CNT,0.0
2025-01-01,Bill from sinocomm,0.0
2025-01-01,Bill from 北京紫讯,0.0
2025-02-01,Bill from CBC China,216.0
2025-02-01,Bill from CBC Hong Kong,93.0
2025-02-01,Bill from CBC Singapore,15.0
2025-02-01,Bill from CBC Taiwan,0.0
2025-02-01,Bill from CBC Tech HK,0.0
2025-02-01,Bill from CNO,0.0
